Task ID,开发波次,波次定位,模块,开发内容,标准化任务类型,任务成熟度,执行策略,执行人/跟进人,确认人,目标完成时间,交付物/产出预期,验收标准/回执要求,计划周次/预计完成,依赖/阻塞/需澄清,备注/整改建议,截图来源,是否进入当前开发
T052,Wave 4｜日常运维,日常运维需要，非优先级,模块C-开票登记,应确认是否会有执行漏洞：CM可以通过其他途径把2605for06版本计划外的钱，做成计划内的。,权限治理/风控,开口项,【建议】纳入第一轮主功能，围绕日常开票、特殊关闭、计划内外判定与权限漏洞形成可验收闭环。,Gu,SCP CM代表,,漏洞扫描+闭环方案,业务确认方案,,【建议】依赖SO/KE30数据可用、RF月版本机制、特殊关闭权限和计划内外判定。,【建议】该条涉及跨模块流程，需拆成规则、数据版本、权限、通知、UAT四类任务,截图3,否｜后置Wave4
T053,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先冻结RF/Rolling forecast正确形态，再进入确定开发,模块B-MoM(RF) plan,1 新增 by 产品的 LT OTP金额列,字段/计算列,无效,【建议】先不要直接开发；当前重点是RF/Rolling forecast口径、页面形态、异常监控和与模块D的数据流方向冻结。,,,,,,,,,截图4,否｜当前先做需求/流程/UI冻结
T054,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先冻结RF/Rolling forecast正确形态，再进入确定开发,模块B-MoM(RF) plan,已确认，只保留MB（已改名为Rolling forecast），不再填写两个指标,指标口径/UI调整,无效,【建议】先不要直接开发；当前重点是RF/Rolling forecast口径、页面形态、异常监控和与模块D的数据流方向冻结。,,,,,,,,,截图4,否｜当前先做需求/流程/UI冻结
T055,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先冻结RF/Rolling forecast正确形态，再进入确定开发,模块B-MoM(RF) plan,"逻辑顺序错位：CA认为RF是表示业务自然的实际情况，而非限制目标，不需要用plan的方式表示，而是月度滚动。因此RF不应由模块D带动模块B，而是模块B自然表达，反映在模块D。
• 逻辑对齐 CM&Nina",业务逻辑重构,澄清中,【建议】先不要直接开发；当前重点是RF/Rolling forecast口径、页面形态、异常监控和与模块D的数据流方向冻结。,Gu,SCP CM代表,19-Jun,RF口径说明、流程图、低保真/高保真UI确认稿、三方确认纪要、开发拆解草案。,业务确认方案,【建议】并行W1-W2：先由你主导流程/UI/业务确认；A/C完成后再排入确定开发。,【建议】依赖RF业务口径冻结、CM/SCP/CA三方确认、UI大改范围。,"【建议】不要直接派开发；先做业务规则冻结和低保真页面确认
【建议】这是计划核心，但当前重点是业务/UI冻结，不建议直接开发。",截图4,否｜当前先做需求/流程/UI冻结
T056,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先冻结RF/Rolling forecast正确形态，再进入确定开发,模块B-MoM(RF) plan,"如1.b还，CM计划不应有两个计划值，一个合同一个月只做一个计划。异常监控柱为前九个月run rate应<=70%。前端界面涉及大面积修改，需要三方再次确认
• UI调整",UI重构/异常监控,澄清中,【建议】先不要直接开发；当前重点是RF/Rolling forecast口径、页面形态、异常监控和与模块D的数据流方向冻结。,Gu,SCP CM代表,19-Jun,RF口径说明、流程图、低保真/高保真UI确认稿、三方确认纪要、开发拆解草案。,业务确认方案,【建议】并行W1-W2：先由你主导流程/UI/业务确认；A/C完成后再排入确定开发。,【建议】依赖RF业务口径冻结、CM/SCP/CA三方确认、UI大改范围。,"【建议】不要直接派开发；先做业务规则冻结和低保真页面确认
【建议】这是计划核心，但当前重点是业务/UI冻结，不建议直接开发。",截图4,否｜当前先做需求/流程/UI冻结
T057,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先完成流程、口径、UI冻结，再进入确定开发,模块D-CF plan,1 实现 Quote by project汇总不重复，分配的方法不重要,汇总/去重,无效,【建议】先不要直接开发；当前重点是CF Plan四池/场景、聚合颗粒度、合同挂靠、锁版清单和UI确认。,,,,,,,,,截图4,否｜当前先做需求/流程/UI冻结
T058,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先完成流程、口径、UI冻结，再进入确定开发,模块D-CF plan,2 调整 CF计划为by Cost/产品/PID 做计划，合同回流OTP,计划结构/数据联动,无效,【建议】先不要直接开发；当前重点是CF Plan四池/场景、聚合颗粒度、合同挂靠、锁版清单和UI确认。,,,,,,,,,截图4,否｜当前先做需求/流程/UI冻结
T059,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先完成流程、口径、UI冻结，再进入确定开发,模块D-CF plan,3 增加 剩余LT OTP以及OTP列,字段/计算列,无效,【建议】先不要直接开发；当前重点是CF Plan四池/场景、聚合颗粒度、合同挂靠、锁版清单和UI确认。,,,,,,,,,截图4,否｜当前先做需求/流程/UI冻结
T060,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先完成流程、口径、UI冻结，再进入确定开发,模块D-CF plan,重新设计，详见OTP CF计划,方案重设,设计中,【建议】先不要直接开发；当前重点是CF Plan四池/场景、聚合颗粒度、合同挂靠、锁版清单和UI确认。,Gu,SCP代表,12-Jun,RF口径说明、流程图、低保真/高保真UI确认稿、三方确认纪要、开发拆解草案。,业务确认方案,【建议】并行W1-W2：先由你主导流程/UI/业务确认；A/C完成后再排入确定开发。,【建议】依赖CF Plan方案冻结、四池/八场景、模块A合同挂靠、锁版规则。,"【建议】该条仍偏方案级，需拆解为数据结构、页面、计算、联动、UAT任务
【建议】这是计划核心，但当前重点是业务/UI冻结，不建议直接开发。",截图4,否｜当前先做需求/流程/UI冻结
T061,Wave 2｜D/B计划逻辑冻结 → 后续开发,模块A直接依赖：合同关联报价/项目，需优先导入并打通前后端,模块D-CF plan,场景3 SCP希望聚合客户+产品+PID（+MCRL0）进行plan。带来的复杂性，需要为合同关联资源做PMS项目联动部分更新。具体见XXX图。,聚合计划/跨模块联动,设计中,【建议】作为模块A合同关联报价/项目的最小数据底座，优先完成入库、映射、前端联调和验收证据。,Gu,SCP代表,12-Jun,RF口径说明、流程图、低保真/高保真UI确认稿、三方确认纪要、开发拆解草案。,【建议】至少3组样本可追溯到前端；OK项必须补GitHub版本/测试截图；Open项必须有阻塞原因和预计完成日。,【建议】并行W1-W2：先由你主导流程/UI/业务确认；A/C完成后再排入确定开发。,【建议】依赖客户/产品/PID映射、特殊产品识别规则、前端调用字段。,"【建议】该条仍偏方案级，需拆解为数据结构、页面、计算、联动、UAT任务
【建议】这是计划核心，但当前重点是业务/UI冻结，不建议直接开发。",截图4,否｜当前先做需求/流程/UI冻结
T062,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先完成流程、口径、UI冻结，再进入确定开发,模块D-CF plan,场景2/3都原本没有合同的状态，在下一个周期可能会产生新的合同需要挂靠，如何联动模块D的计划到模块A的关联。,生命周期/合同挂靠,设计中,【建议】先不要直接开发；当前重点是CF Plan四池/场景、聚合颗粒度、合同挂靠、锁版清单和UI确认。,Gu,SCP代表,12-Jun,RF口径说明、流程图、低保真/高保真UI确认稿、三方确认纪要、开发拆解草案。,业务确认方案,【建议】并行W1-W2：先由你主导流程/UI/业务确认；A/C完成后再排入确定开发。,【建议】依赖CF Plan方案冻结、四池/八场景、模块A合同挂靠、锁版规则。,"【建议】该条仍偏方案级，需拆解为数据结构、页面、计算、联动、UAT任务
【建议】这是计划核心，但当前重点是业务/UI冻结，不建议直接开发。",截图4,否｜当前先做需求/流程/UI冻结
T063,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先完成流程、口径、UI冻结，再进入确定开发,模块D-CF plan,场景4，topdown目标的登记和消减 - Gu在理解。,Top-down目标机制,设计中,【建议】先不要直接开发；当前重点是CF Plan四池/场景、聚合颗粒度、合同挂靠、锁版清单和UI确认。,Gu,SCP代表,12-Jun,RF口径说明、流程图、低保真/高保真UI确认稿、三方确认纪要、开发拆解草案。,业务确认方案,【建议】并行W1-W2：先由你主导流程/UI/业务确认；A/C完成后再排入确定开发。,【建议】依赖CF Plan方案冻结、四池/八场景、模块A合同挂靠、锁版规则。,"【建议】该条仍偏方案级，需拆解为数据结构、页面、计算、联动、UAT任务
【建议】这是计划核心，但当前重点是业务/UI冻结，不建议直接开发。",截图4,否｜当前先做需求/流程/UI冻结
T064,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先完成流程、口径、UI冻结，再进入确定开发,模块D-CF plan,BA，特殊旧项目计划，目前没有合适的位置放，和CA的定义是暂时做一个可以by项目登记当年出现的BAplan的填报位，并在模块F上可以呈现。现在仍缺少BA cost的数据源表和更新机制确认,BA计划/数据源/展示,设计中,【建议】暂不抢占第一轮资源；保留状态跟踪，等模块F/Dashboard或成本展示启动时再集中处理。,Gu,SCP代表,19-Jun,【建议】暂仅保留数据状态台账；后续F启动时再补数据清洗、增量机制、展示口径。,【建议】不作为当前验收对象；只需确认状态不影响A/C主线。,【建议】并行W1-W2：先由你主导流程/UI/业务确认；A/C完成后再排入确定开发。,【建议】当前不阻塞A/C；后续依赖Dashboard/成本展示口径。,"【建议】该条仍偏方案级，需拆解为数据结构、页面、计算、联动、UAT任务
【建议】这是计划核心，但当前重点是业务/UI冻结，不建议直接开发。",截图4,否｜当前先做需求/流程/UI冻结
T065,Wave 2｜D/B计划逻辑冻结 → 后续开发,第二轮核心计划模块：先完成流程、口径、UI冻结，再进入确定开发,模块D-CF plan,锁版交互动作和锁版数据清单,版本锁定/数据清单,设计中,【建议】先不要直接开发；当前重点是CF Plan四池/场景、聚合颗粒度、合同挂靠、锁版清单和UI确认。,Gu,SCP代表,12-Jun,RF口径说明、流程图、低保真/高保真UI确认稿、三方确认纪要、开发拆解草案。,【建议】SCP/CM确认计划颗粒度、场景2/3合同挂靠、Top-down消减、锁版逻辑；未确认前不进入开发。,【建议】并行W1-W2：先由你主导流程/UI/业务确认；A/C完成后再排入确定开发。,【建议】依赖CF Plan方案冻结、四池/八场景、模块A合同挂靠、锁版规则。,"【建议】该条仍偏方案级，需拆解为数据结构、页面、计算、联动、UAT任务
【建议】这是计划核心，但当前重点是业务/UI冻结，不建议直接开发。",截图4,否｜当前先做需求/流程/UI冻结
T066,Wave 3｜模块E调账登记 + 模块F Dashboard联动,后置闭环：在A/C主流程和D/B计划逻辑基本稳定后推进；用于目标调节、执行微调和管理视图闭环。,模块F-Dashboard,"4 增加LT OTP和SE3的分期递值，多个PID取最早SOP yr：1st=SOP yr - 6m, ... +=1y
a. 对于没有SE3的合同怎么办？
b. 合同的时间节点怎么取
=> 从模块A转到模块F",Dashboard计算逻辑,开口项,【建议】后置推进；等A/C/D/B/E的数据结构和指标口径成熟后，再作为轻量可视化扫尾开发。,Gu,SCP Admin,,【建议】Dashboard指标口径、分期递值公式、无SE3处理规则、页面原型、CA确认纪要。,【建议】CA确认Dashboard结构和指标口径；每个指标必须有来源、公式和异常处理规则。,【建议】W3以后或扫尾期：等A/C和D/B数据结构稳定后，与E调账台一起推进。,【建议】依赖A/C/D/B/E稳定后的数据结构和CA Dashboard设计会议。,"【建议】先开设计会议并冻结指标口径，不建议直接开发
【建议】Dashboard依赖成熟数据结构，建议与E/调账台扫尾一起做。",截图5,否｜后置，与E/F扫尾一起推进
T067,Wave 3｜模块E调账登记 + 模块F Dashboard联动,后置闭环：在A/C主流程和D/B计划逻辑基本稳定后推进；用于目标调节、执行微调和管理视图闭环。,模块F-Dashboard,缺少一场整体的Dashboard设计会议，和CA,Dashboard设计对齐,开口项,【建议】后置推进；等A/C/D/B/E的数据结构和指标口径成熟后，再作为轻量可视化扫尾开发。,Gu,CA,,【建议】Dashboard指标口径、分期递值公式、无SE3处理规则、页面原型、CA确认纪要。,【建议】CA确认Dashboard结构和指标口径；每个指标必须有来源、公式和异常处理规则。,【建议】W3以后或扫尾期：等A/C和D/B数据结构稳定后，与E调账台一起推进。,【建议】依赖A/C/D/B/E稳定后的数据结构和CA Dashboard设计会议。,"【建议】先开设计会议并冻结指标口径，不建议直接开发
【建议】Dashboard依赖成熟数据结构，建议与E/调账台扫尾一起做。",截图5,否｜后置，与E/F扫尾一起推进
T068,Wave 3｜模块E调账登记 + 模块F Dashboard联动,后置闭环：在A/C主流程和D/B计划逻辑基本稳定后推进；用于目标调节、执行微调和管理视图闭环。,模块E-调账登记,需要和CA/SCP确认 调账通知批机制 - Nina,业务确认/通知机制,开口项,【建议】先作为业务机制确认任务，不直接开发；先确认触发条件、通知对象、通知内容、通知频率，再决定是否做邮件/系统内提醒。,Gu,CA / SCP / Nina,,调账通知机制说明：触发条件、通知对象、通知内容、通知频率、是否批量通知、是否需要邮件/系统内提醒。,CA/SCP确认后可关闭；至少明确：哪些调账动作必须通知、通知给谁、通知内容包含哪些字段、是否需要批量提醒。,【建议】Wave 3启动前1周完成规则冻结,【建议】依赖E003调账记录字段定义，否则通知内容无法稳定；也依赖CA/SCP对调账治理边界的确认。,【建议】当前描述是讨论点，不是开发任务。建议先形成机制确认文档，再拆成前端/后端/通知开发任务。,用户补充截图-模块E,否｜后置Wave3，当前先做需求澄清
T069,Wave 3｜模块E调账登记 + 模块F Dashboard联动,后置闭环：在A/C主流程和D/B计划逻辑基本稳定后推进；用于目标调节、执行微调和管理视图闭环。,模块E-调账登记,合同关联SO及票真实数据，并体现在模块前端,数据联动/前端展示,开口项,【建议】将该任务拆成后端关联和前端展示两部分：先明确“票真实数据”来自SO、Invoice还是KE30，再定义前端展示字段。,Junhe,SCP / CM,,模块E前端关联展示能力：合同号、SO、发票号、实际开票金额、可调账金额、来源数据更新时间。,选取至少3个合同样本，可在模块E中正确关联SO和发票真实数据；金额与模块C/数据源一致；前端字段显示清楚。,【建议】Wave 3第1-2周；前提是模块C和SO/KE30数据底座完成,依赖模块C开票登记主流程、SO数据导入、KE30或Invoice真实数据口径确认。,【建议】需要先明确“票真实数据”的唯一数据源和字段口径，避免SO、Invoice、KE30混用。,用户补充截图-模块E,否｜等待A/C与SO/KE30主链路完成
T070,Wave 3｜模块E调账登记 + 模块F Dashboard联动,后置闭环：在A/C主流程和D/B计划逻辑基本稳定后推进；用于目标调节、执行微调和管理视图闭环。,模块E-调账登记,调账如果被记录在后台，知道谁什么时候、什么原因 从哪里调了多少钱到哪里。,数据结构/审计留痕,开口项,【建议】这是模块E的核心底座，应优先于通知机制和前端展示。先定义调账记录表，再开发录入、查询、通知和Dashboard联动。,Gu,SCP / CA,,调账记录表字段定义与后台记录机制：操作人、操作时间、调账原因、来源对象、去向对象、金额、币种、CF版本、关联合同/SO/发票、备注。,每一笔调账都有完整审计记录；可追溯谁在何时因何原因从哪里调出多少钱到哪里；支持前端查询与后续Dashboard引用。,【建议】Wave 3第1周完成字段冻结；开发随E006推进,【建议】依赖调账对象范围确认：PAO间、科目间、计划内外、CF/MB之间。,【建议】这是模块E最关键任务，必须先于E001通知机制、E006前端录入和E007联动测试。,用户补充截图-模块E,否｜后置Wave3，但可提前做字段设计
T071,Wave 3｜模块E调账登记 + 模块F Dashboard联动,后置闭环：在A/C主流程和D/B计划逻辑基本稳定后推进；用于目标调节、执行微调和管理视图闭环。,模块E-调账登记,调账需要跟随CF release锁版,版本控制/锁版规则,开口项,【建议】不要孤立开发。模块E锁版规则必须与模块D的CF Plan Release机制一致，包括锁版后可否修改、如何更正、是否允许冲销。,Gu,SCP / CA,,调账锁版规则说明：锁版前可编辑范围、锁版后冻结范围、冲销/更正规则、锁版版本号、与CF Release的关系。,CF Release后，对应调账记录不可随意修改；如需修正，必须通过更正/冲销记录留痕；锁版数据与Dashboard口径一致。,【建议】Wave 3第2-3周；需等模块D的CF Release规则冻结,依赖模块D CF Plan锁版机制、CF版本规则、E003调账记录字段。,【建议】当前可以先记录为关键约束，不能先开发；否则会和D模块锁版逻辑反复冲突。,用户补充截图-模块E,否｜依赖D模块冻结
T074,Wave 3｜模块E调账登记 + 模块F Dashboard联动,后置闭环：在A/C主流程和D/B计划逻辑基本稳定后推进；用于目标调节、执行微调和管理视图闭环。,模块E-调账登记,【建议】补充：模块E与Dashboard/CF Actual口径联动校验,测试/UAT/联动验收,开口项,【建议】模块E最终价值体现在F的管理视图中，应与F一起验收，而不是只验收调账录入页面。,Junhe,CA / SCP,,调账联动测试用例与结果记录：调入、调出、跨PAO、跨科目、锁版后更正；验证对CF Actual、MB Actual、Dashboard的影响。,调账后CF Actual、MB Actual、Dashboard展示结果符合预期；CA/SCP确认至少3个典型场景。,【建议】Wave 3后段，与模块F Dashboard并行验收,依赖模块F Dashboard口径、E003记录机制、E004锁版机制。,【建议】这是闭环验收任务，不应提前开发，但应提前定义测试场景。,根据模块E评审补充,否｜与F联动验收
